datetime;M. Emmanuel MACRON;Mme Marine LE PEN;M. Jean-Luc MÉLENCHON;M. Éric ZEMMOUR;Mme Valérie PÉCRESSE;M. Yannick JADOT;M. Jean LASSALLE;M. Fabien ROUSSEL;M. Nicolas DUPONT-AIGNAN;Mme Anne HIDALGO;M. Philippe POUTOU;Mme Nathalie ARTHAUD
2022-04-10T22:21+02:00;26,84;27,16;18,67;6,70;4,68;4,09;3,86;2,41;2,33;1,77;0,83;0,64
2022-04-10T22:24+02:00;26,93;27,07;18,72;6,71;4,68;4,10;3,82;2,41;2,32;1,77;0,83;0,64
2022-04-10T22:42+02:00;27,04;26,76;18,94;6,81;4,68;4,16;3,71;2,42;2,29;1,76;0,82;0,62
2022-04-10T22:47+02:00;27,07;26,65;19,01;6,85;4,69;4,18;3,67;2,41;2,28;1,76;0,81;0,62
2022-04-10T22:52+02:00;27,13;26,47;19,12;6,85;4,69;4,23;3,65;2,40;2,27;1,76;0,81;0,62
2022-04-10T22:57+02:00;27,18;26,34;19,19;6,88;4,70;4,25;3,62;2,40;2,26;1,76;0,81;0,61
2022-04-10T23:02+02:00;27,25;26,22;19,26;6,87;4,70;4,28;3,59;2,40;2,25;1,76;0,81;0,61
2022-04-10T23:07+02:00;27,25;26,05;19,47;6,87;4,69;4,29;3,56;2,40;2,24;1,76;0,81;0,61
2022-04-10T23:12+02:00;27,28;25,94;19,58;6,87;4,69;4,30;3,54;2,40;2,24;1,76;0,80;0,61
2022-04-10T23:17+02:00;27,31;25,70;19,80;6,87;4,69;4,34;3,51;2,39;2,22;1,77;0,80;0,61
2022-04-10T23:22+02:00;27,32;25,67;19,84;6,88;4,70;4,34;3,49;2,39;2,22;1,76;0,80;0,60
2022-04-10T23:27+02:00;27,37;25,62;19,84;6,89;4,71;4,34;3,48;2,39;2,21;1,76;0,80;0,60
2022-04-10T23:32+02:00;27,38;25,49;19,94;6,91;4,72;4,36;3,46;2,38;2,21;1,76;0,79;0,60
2022-04-10T23:37+02:00;27,41;25,41;19,99;6,92;4,73;4,37;3,45;2,38;2,20;1,76;0,79;0,60
2022-04-10T23:42+02:00;27,38;25,31;20,15;6,93;4,73;4,37;3,43;2,37;2,20;1,75;0,79;0,60
2022-04-10T23:47+02:00;27,39;25,27;20,16;6,94;4,74;4,37;3,42;2,37;2,20;1,75;0,79;0,60
2022-04-10T23:52+02:00;27,39;25,17;20,27;6,95;4,75;4,38;3,40;2,37;2,19;1,75;0,79;0,59
2022-04-10T23:57+02:00;27,40;25,05;20,37;6,95;4,75;4,40;3,39;2,36;2,18;1,75;0,79;0,59
2022-04-11T00:02+02:00;27,43;25,02;20,38;6,95;4,76;4,40;3,38;2,36;2,18;1,75;0,79;0,59
2022-04-11T00:16+02:00;27,41;24,90;20,54;6,95;4,76;4,40;3,36;2,36;2,18;1,74;0,79;0,59
2022-04-11T00:17+02:00;27,40;24,75;20,75;6,95;4,76;4,41;3,34;2,36;2,17;1,74;0,78;0,59
